patent,prim,class,subclass
D0673346,1,"D 2",639,"D 2639"
D0673347,1,"D 2",738,"D 2738"
D0673348,1,"D 2",738,"D 2738"
D0673349,1,"D 2",742,"D 2742"
D0673350,1,"D 2",742,"D 2742"
D0673351,1,"D 2",860,"D 2860"
D0673352,1,"D 2",876,"D 2876"
D0673353,1,"D 2",917,"D 2917"
D0673354,1,"D 2",917,"D 2917"
D0673355,1,"D 2",917,"D 2917"
D0673356,1,"D 2",929,"D 2929"
D0673356,0," D2",930," D2930"
D0673356,0," D2",931," D2931"
D0673357,1,"D 2",961,"D 2961"
D0673358,1,"D 2",972,"D 2972"
D0673359,1,"D 3"," 10","D 3 10"
D0673360,1,"D 3",203.2,"D 32032"
D0673361,1,"D 3",212,"D 3212"
D0673361,0," D3",208," D3208"
D0673362,1,"D 3",217,"D 3217"
D0673362,0," D3",216," D3216"
D0673363,1,"D 3",217,"D 3217"
D0673364,1,"D 3",232,"D 3232"
D0673365,1,"D 3",247,"D 3247"
D0673366,1,"D 3",294,"D 3294"
D0673367,1,"D 3",304,"D 3304"
D0673368,1,"D 3",304,"D 3304"
D0673369,1,"D 3",306,"D 3306"
D0673370,1,"D 3",310,"D 3310"
D0673371,1,"D 3",318,"D 3318"
D0673372,1,"D 4",114,"D 4114"
D0673372,0," D4",129," D4129"
D0673372,0," D4",138," D4138"
D0673373,1,"D 4",138,"D 4138"
D0673373,0," D4",132," D4132"
D0673374,1,"D 5"," 35","D 5 35"
D0673375,1,"D 5"," 35","D 5 35"
D0673376,1,"D 5"," 60","D 5 60"
D0673377,1,"D 5"," 63","D 5 63"
D0673378,1,"D 6",315,"D 6315"
D0673379,1,"D 6",334,"D 6334"
D0673380,1,"D 6",336,"D 6336"
D0673380,0," D6",480," D6480"
D0673380,0," D6",397," D6397"
D0673381,1,"D 6",358,"D 6358"
D0673382,1,"D 6",358,"D 6358"
D0673383,1,"D 6",364,"D 6364"
D0673384,1,"D 6",366,"D 6366"
D0673385,1,"D 6",366,"D 6366"
D0673386,1,"D 6",393,"D 6393"
D0673387,1,"D 6",397,"D 6397"
D0673387,0," D6",421," D6421"
D0673387,0," D6",425," D6425"
D0673388,1,"D 6",397,"D 6397"
D0673388,0," D6",421," D6421"
D0673388,0," D6",445," D6445"
D0673389,1,"D 6",397,"D 6397"
D0673389,0," D6",421," D6421"
D0673389,0," D6",445," D6445"
D0673390,1,"D 6",463,"D 6463"
D0673391,1,"D 6",467,"D 6467"
D0673392,1,"D 6",474,"D 6474"
D0673393,1,"D 6",495,"D 6495"
D0673394,1,"D 6",500,"D 6500"
D0673395,1,"D 6",500,"D 6500"
D0673395,0," D6",376," D6376"
D0673395,0," D6",380," D6380"
D0673396,1,"D 6",500,"D 6500"
D0673396,0," D6",376," D6376"
D0673396,0," D6",380," D6380"
D0673397,1,"D 6",502,"D 6502"
D0673398,1,"D 6",502,"D 6502"
D0673399,1,"D 6",502,"D 6502"
D0673400,1,"D 6",502,"D 6502"
D0673401,1,"D 6",502,"D 6502"
D0673402,1,"D 6",509,"D 6509"
D0673403,1,"D 6",517,"D 6517"
D0673404,1,"D 6",569,"D 6569"
D0673405,1,"D 6",592,"D 6592"
D0673406,1,"D 6",598,"D 6598"
D0673406,0,D21,600,D21600
D0673407,1,"D 6",598,"D 6598"
D0673407,0,D21,596,D21596
D0673408,1,"D 6",598,"D 6598"
D0673408,0,D21,622,D21622
D0673408,0,D21,630,D21630
D0673408,0," D6",599," D6599"
D0673409,1,"D 6",601,"D 6601"
D0673410,1,"D 6",601,"D 6601"
D0673411,1,"D 6",605,"D 6605"
D0673412,1,"D 6",605,"D 6605"
D0673413,1,"D 6",605,"D 6605"
D0673414,1,"D 6",606,"D 6606"
D0673415,1,"D 7",300.1,"D 73001"
D0673415,0," D7",598," D7598"
D0673415,0," D7",316," D7316"
D0673416,1,"D 7",351,"D 7351"
D0673417,1,"D 7",351,"D 7351"
D0673418,1,"D 7",351,"D 7351"
D0673419,1,"D 7",373,"D 7373"
D0673419,0," D7",376," D7376"
D0673419,0," D7",378," D7378"
D0673420,1,"D 7",392.1,"D 73921"
D0673421,1,"D 7",396.2,"D 73962"
D0673421,0," D7",511," D7511"
D0673422,1,"D 7",398,"D 7398"
D0673422,0," D7",397," D7397"
D0673422,0," D9",440," D9440"
D0673423,1,"D 7",398,"D 7398"
D0673423,0," D7",397," D7397"
D0673423,0," D7",300.1," D73001"
D0673424,1,"D 7",401.2,"D 74012"
D0673424,0," D7",653," D7653"
D0673425,1,"D 7",412,"D 7412"
D0673425,0," D7",376," D7376"
D0673425,0," D7",378," D7378"
D0673425,0," D7",386," D7386"
D0673426,1,"D 7",545,"D 7545"
D0673426,0," D7",533," D7533"
D0673426,0," D7",318," D7318"
D0673427,1,"D 7",600.1,"D 76001"
D0673428,1,"D 7",625,"D 7625"
D0673428,0," D7",606," D7606"
D0673429,1,"D 7",629,"D 7629"
D0673430,1,"D 7",637,"D 7637"
D0673430,0," D7",629," D7629"
D0673430,0," D3",201," D3201"
D0673431,1,"D 7",643,"D 7643"
D0673431,0," D7",642," D7642"
D0673431,0," D7",645," D7645"
D0673431,0," D7",653," D7653"
D0673432,1,"D 7",672,"D 7672"
D0673433,1,"D 8"," 16","D 8 16"
D0673434,1,"D 8"," 28","D 8 28"
D0673435,1,"D 8"," 28","D 8 28"
D0673436,1,"D 8"," 68","D 8 68"
D0673437,1,"D 8"," 68","D 8 68"
D0673438,1,"D 8"," 78","D 8 78"
D0673438,0," D8"," 14"," D8 14"
D0673439,1,"D 8"," 93","D 8 93"
D0673440,1,"D 8"," 98","D 8 98"
D0673441,1,"D 8",100,"D 8100"
D0673442,1,"D 8",330,"D 8330"
D0673443,1,"D 8",356,"D 8356"
D0673444,1,"D 8",397,"D 8397"
D0673445,1,"D 8",397,"D 8397"
D0673446,1,"D 8",403,"D 8403"
D0673446,0," D6",390," D6390"
D0673447,1,"D 9",424,"D 9424"
D0673448,1,"D 9",434,"D 9434"
D0673448,0," D9",689," D9689"
D0673449,1,"D 9",451,"D 9451"
D0673450,1,"D 9",452,"D 9452"
D0673450,0," D9",454," D9454"
D0673451,1,"D 9",452,"D 9452"
D0673451,0," D7",392.1," D73921"
D0673451,0," D9",454," D9454"
D0673452,1,"D 9",500,"D 9500"
D0673453,1,"D 9",516,"D 9516"
D0673454,1,"D 9",516,"D 9516"
D0673454,0," D9",521," D9521"
D0673454,0," D9",529," D9529"
D0673455,1,"D 9",521,"D 9521"
D0673455,0," D9",529," D9529"
D0673455,0," D9",551," D9551"
D0673455,0," D9",564," D9564"
D0673455,0," D9",575," D9575"
D0673455,0," D9",445," D9445"
D0673456,1,"D 9",523,"D 9523"
D0673456,0," D9",547," D9547"
D0673456,0," D9",563," D9563"
D0673456,0," D9",564," D9564"
D0673457,1,"D 9",573,"D 9573"
D0673457,0," D9",574," D9574"
D0673458,1,"D 9",607,"D 9607"
D0673459,1,"D 9",608,"D 9608"
D0673460,1,"D 9",643,"D 9643"
D0673460,0," D9",707," D9707"
D0673460,0," D9",632," D9632"
D0673460,0," D9",669," D9669"
D0673461,1,"D 9",643,"D 9643"
D0673461,0," D9",632," D9632"
D0673461,0," D9",649," D9649"
D0673462,1,"D 9",702,"D 9702"
D0673463,1,D10," 32","D10 32"
D0673464,1,D10," 38","D10 38"
D0673465,1,D10," 46.3","D10 463"
D0673466,1,D10," 49","D10 49"
D0673466,0,D10," 50","D10 50"
D0673467,1,D10," 50","D10 50"
D0673468,1,D10," 60","D10 60"
D0673469,1,D10," 65","D10 65"
D0673470,1,D10," 65","D10 65"
D0673471,1,D10," 65","D10 65"
D0673471,0,D10," 70","D10 70"
D0673472,1,D10," 65","D10 65"
D0673472,0,D10," 70","D10 70"
D0673473,1,D10,104.1,D101041
D0673474,1,D10,114.2,D101142
D0673475,1,D10,114.2,D101142
D0673476,1,D10,114.6,D101146
D0673477,1,D10,128,D10128
D0673478,1,D11,"  4","D11  4"
D0673479,1,D11," 82","D11 82"
D0673479,0,D11," 57","D11 57"
D0673480,1,D11,221,D11221
D0673481,1,D11,222,D11222
D0673481,0,D11,228,D11228
D0673482,1,D12,"  1","D12  1"
D0673483,1,D12," 91","D12 91"
D0673484,1,D12," 92","D12 92"
D0673485,1,D12,164,D12164
D0673486,1,D12,169,D12169
D0673487,1,D12,192,D12192
D0673488,1,D12,195,D12195
D0673489,1,D12,196,D12196
D0673490,1,D12,203,D12203
D0673491,1,D12,203,D12203
D0673492,1,D12,209,D12209
D0673493,1,D12,209,D12209
D0673494,1,D12,209,D12209
D0673495,1,D12,401,D12401
D0673496,1,D12,415,D12415
D0673497,1,D13,101,D13101
D0673498,1,D13,108,D13108
D0673499,1,D13,133,D13133
D0673500,1,D13,133,D13133
D0673501,1,D13,133,D13133
D0673502,1,D13,133,D13133
D0673503,1,D13,139.8,D131398
D0673504,1,D13,144,D13144
D0673505,1,D13,147,D13147
D0673506,1,D13,156,D13156
D0673507,1,D13,159,D13159
D0673508,1,D13,159,D13159
D0673509,1,D13,159,D13159
D0673510,1,D13,164,D13164
D0673511,1,D13,164,D13164
D0673512,1,D13,168,D13168
D0673513,1,D13,178,D13178
D0673513,0,D13,161,D13161
D0673514,1,D13,179,D13179
D0673515,1,D13,182,D13182
D0673516,1,D13,183,D13183
D0673517,1,D14,195,D14195
D0673518,1,D14,205,D14205
D0673519,1,D14,205,D14205
D0673520,1,D14,205,D14205
D0673521,1,D14,205,D14205
D0673522,1,D14,205,D14205
D0673523,1,D14,206,D14206
D0673524,1,D14,206,D14206
D0673525,1,D14,209.1,D142091
D0673526,1,D14,214,D14214
D0673527,1,D14,215,D14215
D0673528,1,D14,217,D14217
D0673528,0,D14,434,D14434
D0673529,1,D14,218,D14218
D0673530,1,D14,223,D14223
D0673531,1,D14,223,D14223
D0673532,1,D14,223,D14223
D0673533,1,D14,230,D14230
D0673534,1,D14,230,D14230
D0673535,1,D14,230,D14230
D0673536,1,D14,238,D14238
D0673537,1,D14,247,D14247
D0673538,1,D14,248,D14248
D0673539,1,D14,250,D14250
D0673540,1,D14,250,D14250
D0673541,1,D14,250,D14250
D0673542,1,D14,250,D14250
D0673543,1,D14,250,D14250
D0673544,1,D14,250,D14250
D0673545,1,D14,250,D14250
D0673546,1,D14,250,D14250
D0673547,1,D14,250,D14250
D0673548,1,D14,250,D14250
D0673549,1,D14,250,D14250
D0673550,1,D14,250,D14250
D0673551,1,D14,250,D14250
D0673552,1,D14,250,D14250
D0673553,1,D14,250,D14250
D0673554,1,D14,250,D14250
D0673555,1,D14,251,D14251
