patent,Country,Classification,Info
D0673346,US,"D 2624-640",unstructured
D0673346,US,"D 2199",
D0673346,US,"  2311-312",unstructured
D0673346,US,"  2322",
D0673346,US,"  2338",
D0673346,US,"D11  3",
D0673346,US,"D11  5",
D0673346,US,D29122,
D0673346,US,D24190,
D0673346,US,297482,
D0673347,US,"D 2731",
D0673347,US,"D 2738",
D0673347,US,"D 2742",
D0673347,US,"D 2712",
D0673347,US,"  2 79",
D0673347,US,"  2 80",
D0673347,US,"  2227",
D0673347,US,"  2228",
D0673347,US,"  2234-238",unstructured
D0673348,US,"D 2731",
D0673348,US,"D 2738",
D0673348,US,"D 2742",
D0673348,US,"D 2712",
D0673348,US,"D 2737",
D0673348,US,"  2 67",
D0673348,US,"  2 79",
D0673348,US,"  2 80",
D0673348,US,"  2227",
D0673348,US,"  2228",
D0673348,US,"  2234-238",unstructured
D0673349,US,"D 2731",
D0673349,US,"D 2738",
D0673349,US,"D 2742",
D0673349,US,"D 2712",
D0673349,US,"  2 79",
D0673349,US,"  2 80",
D0673349,US,"  2227",
D0673349,US,"  2228",
D0673349,US,"  2234-238",unstructured
D0673350,US,"D 2731",
D0673350,US,"D 2738",
D0673350,US,"D 2742",
D0673350,US,"D 2712",
D0673350,US,"  2 79",
D0673350,US,"  2 80",
D0673350,US,"  2227",
D0673350,US,"  2228",
D0673350,US,"  2234-238",unstructured
D0673351,US,"D 2705",
D0673351,US,"D 2853",
D0673351,US,"D 2856",
D0673351,US,"D 2860",
D0673351,US,"  2 46",
D0673351,US,"  2 53",
D0673351,US,"  2 56",
D0673351,US,"450 56",
D0673351,US,"450 57",
D0673351,US,D24124,
D0673351,US,60438503,
D0673351,US,604386,
D0673351,US,604378,
D0673352,US,"D 2865",
D0673352,US,"D 2866",
D0673352,US,"D 2871",
D0673352,US,"D 2876",
D0673352,US,"D 2877",
D0673352,US,"D 2879",
D0673352,US,"D 2882",
D0673352,US,"D 2891",
D0673352,US,"D 2894",
D0673352,US,"  2 12",
D0673352,US,"  2171",
D0673352,US,"  21711",
D0673352,US,"  2172",
D0673352,US,"  21751",
D0673352,US,"  21752",
D0673352,US,"  21753",
D0673352,US,"  2181",
D0673352,US,"  21812",
D0673352,US,"  21814",
D0673352,US,"  21816",
D0673352,US,"  21818",
D0673352,US,"  21821",
D0673352,US,"  21822",
D0673352,US,"  21823",
D0673352,US,"  21824",
D0673352,US,"  21825",
D0673352,US,"  21826",
D0673352,US,"  21827",
D0673352,US,"  21828",
D0673352,US,"  21845",
D0673352,US,"  21951",
D0673352,US,"  21952",
D0673352,US,"  21953",
D0673352,US,"  220911",
D0673352,US,"  220913",
D0673353,US,"D 2896-900",unstructured
D0673353,US,"D 2903",
D0673353,US,"D 2916-925",unstructured
D0673353,US,"D 2943",
D0673353,US,"D 2946",
D0673353,US,"D 2969",
D0673353,US,"D 2971",
D0673353,US,"D 2976",
D0673353,US," 36  73",
D0673353,US," 36  75",
D0673353,US," 36 115",
D0673353,US," 36 45",
D0673353,US," 36  3 A",
D0673353,US," 36  3 R",
D0673353,US," 36136",
D0673354,US,"D 2896",
D0673354,US,"D 2916-918",unstructured
D0673354,US,"D 2940",
D0673354,US,"D 2946",
D0673354,US,"D 2969",
D0673354,US,"D 2971",
D0673354,US," 36 45",
D0673354,US," 36 115",
D0673354,US," 36 90",
D0673354,US," 36101",
D0673354,US," 36  3 A",
D0673354,US," 36 501",
D0673354,US," 36 83",
D0673354,US," 36  75",
D0673354,US," 36  76",
D0673355,US,D02896,
D0673355,US,D02916-918,unstructured
D0673355,US,D02940,
D0673355,US,D02946,
D0673355,US,D02969,
