patent,asgseq,asgtype,assignee,City,State,Country,zip,generated_sort
D0673346,,02,"Bodypoint, Inc.",Seattle,WA,US,,1
D0673347,,03,"Lululemon Athletica Canada Inc.",Vancouver,,CA,,1
D0673348,,04,,"Fort Lauderdale",FL,US,,1
D0673348,,04,,Hollywood,FL,US,,2
D0673350,,04,,"Fort Lauderdale",FL,US,,1
D0673350,,04,,Hollywood,FL,US,,2
D0673352,,02,"Functional Games Apparel LLC",Camden,NJ,US,,1
D0673356,,03,"J. Choo Limited",London,,GB,,1
D0673357,,02,"NIKE, Inc.",Beaverton,OR,US,,1
D0673358,,02,"NIKE, Inc.",Beaverton,OR,US,,1
D0673360,,02,"Sun Coast Merchandise Corp.",Commerce,CA,US,,1
D0673361,,02,"Thule Organization Solutions, Inc.",Longmont,CO,US,,1
D0673362,,03,"Ben Bat Ltd.",,,IL,,1
D0673363,,03,"Daymen Canada Acquistion ULC","Vancouver, British Columbia",,CA,,1
D0673366,,03,"Helen of Troy Limited","St. Michael",,BB,,1
D0673367,,03,"Curver Luxembourg SARL",Neidercorn,,LU,,1
D0673369,,02,"Design Ideas, Ltd.",Springfield,IL,US,,1
D0673370,,02,"Wilmar Corporation",Renton,WA,US,,1
D0673371,,02,"Heys (USA), Inc.",Weston,FL,US,,1
D0673373,,02,"Zibra, LLC",Morresville,NC,US,,1
D0673374,,02,"Foxpro, Inc.",Lewistown,PA,US,,1
D0673376,,03,"LG Hausys, Ltd.",Seoul,,KR,,1
D0673377,,02,"The Procter & Gamble Company",Cincinnati,OH,US,,1
D0673379,,02,"Kimball International, Inc.",Jasper,IN,US,,1
D0673380,,03,"Ekornes ASA",Ikornnes,,NO,,1
D0673381,,02,"Art Works and Design, Inc.","Port Jefferson Station",NY,US,,1
D0673382,,02,"Art Works and Design, Inc.","Port Jefferson Station",NY,US,,1
D0673383,,03,"Okamura Corporation",Kanagawa,,JP,,1
D0673384,,05,,"Foshan, Guangdong",,CN,,1
D0673385,,03,"Chueng Shine Co., Ltd.","Chia Yi Hsien",,TW,,1
D0673386,,02,"Restoration Hardware, Inc.","Corte Madera",CA,US,,1
D0673387,,02,"Naztec International Group LLC","West Palm Beach",FL,US,,1
D0673388,,02,"Naztec International Group LLC","West Palm Beach",FL,US,,1
D0673389,,02,"Naztec International Group LLC","West Palm Beach",FL,US,,1
D0673390,,02,"Chicago Display Marketing Corporation","River Grove",IL,US,,1
D0673391,,02,"Lisle Corporation",Clarinda,IA,US,,1
D0673392,,03,"Poppelmann Holding GmbH & Co. KG",Osnabrück,,DE,,1
D0673393,,02,"Tesla Motors, Inc.","Palo Alto",CA,US,,1
D0673394,,03,"Okamura Corporation",Kanagawa,,JP,,1
D0673395,,03,"Pro-Cord S.p.A.",Bologna,,IT,,1
D0673396,,03,"Pro-Cord S.p.A.",Bologna,,IT,,1
D0673397,,03,"Scandinavian Business Seating AS",Oslo,,NO,,1
D0673398,,03,"Scandinavian Business Seating AS",Oslo,,NO,,1
D0673401,,02,"Humanscale Corporation","New York",NY,US,,1
D0673402,,03,"Entro Inc.",Toronto,,CA,,1
D0673403,,02,"Mars, Incorporated",McLean,VA,US,,1
