patent,prim,class,subclass
D0673346,29,"D 2639",9,0207
D0673347,29,"D 2738",9,0202
D0673348,29,"D 2738",9,0202
D0673349,29,"D 2742",9,0202
D0673350,29,"D 2742",9,0202
D0673351,29,"D 2860",9,0202
D0673352,29,"D 2876",9,0203
D0673353,29,"D 2917",9,0204
D0673354,29,"D 2917",9,0204
D0673355,29,"D 2917",9,0204
D0673356,29,"D 2929",9,0204
D0673357,29,"D 2961",9,0299
D0673358,29,"D 2972",9,0299
D0673359,29,"D 3 10",9,0301
D0673360,29,"D 32032",9,0301
D0673361,29,"D 3212",9,0301
D0673362,29,"D 3217",9,0301
D0673363,29,"D 3217",9,0301
D0673364,29,"D 3232",9,0301
D0673365,29,"D 3247",9,0301
D0673366,29,"D 3294",9,0301
D0673367,29,"D 3304",9,0301
D0673368,29,"D 3304",9,0301
D0673369,29,"D 3306",9,0301
D0673370,29,"D 3310",9,0301
D0673371,29,"D 3318",9,0301
D0673372,29,"D 4114",9,0401
D0673373,29,"D 4138",9,0404
D0673374,29,"D 5 35",9,0505
D0673375,29,"D 5 35",9,0505
D0673376,29,"D 5 60",9,0506
D0673377,29,"D 5 63",9,0505
D0673378,29,"D 6315",9,0607
D0673379,29,"D 6334",9,0601
D0673380,29,"D 6336",9,0605
D0673381,29,"D 6358",9,0601
D0673382,29,"D 6358",9,0601
D0673383,29,"D 6364",9,0601
D0673384,29,"D 6366",9,0601
D0673385,29,"D 6366",9,0601
D0673386,29,"D 6393",9,0602
D0673387,29,"D 6397",9,0603
D0673388,29,"D 6397",9,0603
D0673389,29,"D 6397",9,0603
D0673390,29,"D 6463",9,0604
D0673391,29,"D 6467",9,0604
D0673392,29,"D 6474",9,0606
D0673393,29,"D 6495",9,0606
D0673394,29,"D 6500",9,0601
D0673395,29,"D 6500",9,0601
D0673396,29,"D 6500",9,0601
D0673397,29,"D 6502",9,0601
D0673398,29,"D 6502",9,0601
D0673399,29,"D 6502",9,0601
D0673400,29,"D 6502",9,0601
D0673401,29,"D 6502",9,0606
D0673402,29,"D 6509",9,0604
D0673403,29,"D 6517",9,2002
D0673404,29,"D 6569",9,0604
D0673405,29,"D 6592",9,0611
D0673406,29,"D 6598",9,0609
D0673407,29,"D 6598",9,0609
D0673408,29,"D 6598",9,0609
D0673409,29,"D 6601",9,0609
D0673410,29,"D 6601",9,0609
D0673411,29,"D 6605",9,0609
D0673412,29,"D 6605",9,0609
D0673413,29,"D 6605",9,0609
D0673414,29,"D 6606",9,0606
D0673415,29,"D 73001",9,0701
D0673416,29,"D 7351",9,0702
D0673417,29,"D 7351",9,0702
D0673418,29,"D 7351",9,0702
D0673419,29,"D 7373",9,3100
D0673420,29,"D 73921",9,0702
D0673421,29,"D 73962",9,0799
D0673422,29,"D 7398",9,0799
D0673423,29,"D 7398",9,0701
D0673424,29,"D 74012",9,0702
D0673425,29,"D 7412",9,3100
D0673426,29,"D 7545",9,0701
D0673427,29,"D 76001",9,0707
D0673428,29,"D 7625",9,0706
D0673429,29,"D 7629",9,0707
D0673430,29,"D 7637",9,0706
D0673431,29,"D 7643",9,0703
D0673432,29,"D 7672",9,0702
D0673433,29,"D 8 16",9,0805
D0673434,29,"D 8 28",9,0805
D0673435,29,"D 8 28",9,0805
D0673436,29,"D 8 68",9,0804
D0673437,29,"D 8 68",9,0804
D0673438,29,"D 8 78",9,0802
D0673439,29,"D 8 93",9,0805
D0673440,29,"D 8 98",9,0803
D0673441,29,"D 8100",9,0803
D0673442,29,"D 8330",9,0807
D0673443,29,"D 8356",9,0805
D0673444,29,"D 8397",9,0808
D0673445,29,"D 8397",9,0808
D0673446,29,"D 8403",9,0809
D0673447,29,"D 9424",9,0903
D0673448,29,"D 9434",9,0901
D0673449,29,"D 9451",9,0907
D0673450,29,"D 9452",9,0907
D0673451,29,"D 9452",9,0907
D0673452,29,"D 9500",9,0901
D0673453,29,"D 9516",9,0901
D0673454,29,"D 9516",9,0901
D0673455,29,"D 9521",9,0901
D0673456,29,"D 9523",9,0901
D0673457,29,"D 9573",9,0901
D0673458,29,"D 9607",9,0901
D0673459,29,"D 9608",9,0701
D0673460,29,"D 9643",9,0901
D0673461,29,"D 9643",9,0901
D0673462,29,"D 9702",9,0905
D0673463,29,"D10 32",9,1002
D0673464,29,"D10 38",9,1002
D0673465,29,"D10 463",9,1004
D0673466,29,"D10 49",9,1004
D0673467,29,"D10 50",9,1001
D0673468,29,"D10 60",9,1004
D0673469,29,"D10 65",9,1004
D0673470,29,"D10 65",9,1004
D0673471,29,"D10 65",9,1004
D0673472,29,"D10 65",9,1004
D0673473,29,D101041,9,1005
D0673474,29,D101142,9,1005
D0673475,29,D101142,9,1005
D0673476,29,D101146,9,1005
D0673477,29,D10128,9,1007
D0673478,29,"D11  4",9,1101
D0673479,29,"D11 82",9,1101
D0673480,29,D11221,9,0207
D0673481,29,D11222,9,0207
D0673482,29,"D12  1",9,1214
D0673483,29,"D12 91",9,1208
D0673484,29,"D12 92",9,1208
D0673485,29,D12164,9,1216
D0673486,29,D12169,9,1216
D0673487,29,D12192,9,1216
D0673488,29,D12195,9,1208
D0673489,29,D12196,9,1216
D0673490,29,D12203,9,1216
