"Application ID",Country,Classification,Info
29408358,US,"D 2624-640",unstructured
29408358,US,"D 2199",
29408358,US,"  2311-312",unstructured
29408358,US,"  2322",
29408358,US,"  2338",
29408358,US,"D11  3",
29408358,US,"D11  5",
29408358,US,D29122,
29408358,US,D24190,
29408358,US,297482,
29414348,US,"D 2731",
29414348,US,"D 2738",
29414348,US,"D 2742",
29414348,US,"D 2712",
29414348,US,"  2 79",
29414348,US,"  2 80",
29414348,US,"  2227",
29414348,US,"  2228",
29414348,US,"  2234-238",unstructured
29425602,US,"D 2731",
29425602,US,"D 2738",
29425602,US,"D 2742",
29425602,US,"D 2712",
29425602,US,"D 2737",
29425602,US,"  2 67",
29425602,US,"  2 79",
29425602,US,"  2 80",
29425602,US,"  2227",
29425602,US,"  2228",
29425602,US,"  2234-238",unstructured
29413417,US,"D 2731",
29413417,US,"D 2738",
29413417,US,"D 2742",
29413417,US,"D 2712",
29413417,US,"  2 79",
29413417,US,"  2 80",
29413417,US,"  2227",
29413417,US,"  2228",
29413417,US,"  2234-238",unstructured
29425600,US,"D 2731",
29425600,US,"D 2738",
29425600,US,"D 2742",
29425600,US,"D 2712",
29425600,US,"  2 79",
29425600,US,"  2 80",
29425600,US,"  2227",
29425600,US,"  2228",
29425600,US,"  2234-238",unstructured
29379798,US,"D 2705",
29379798,US,"D 2853",
29379798,US,"D 2856",
29379798,US,"D 2860",
29379798,US,"  2 46",
29379798,US,"  2 53",
29379798,US,"  2 56",
29379798,US,"450 56",
29379798,US,"450 57",
29379798,US,D24124,
29379798,US,60438503,
29379798,US,604386,
29379798,US,604378,
29394332,US,"D 2865",
29394332,US,"D 2866",
29394332,US,"D 2871",
29394332,US,"D 2876",
29394332,US,"D 2877",
29394332,US,"D 2879",
29394332,US,"D 2882",
29394332,US,"D 2891",
29394332,US,"D 2894",
29394332,US,"  2 12",
29394332,US,"  2171",
29394332,US,"  21711",
29394332,US,"  2172",
29394332,US,"  21751",
29394332,US,"  21752",
29394332,US,"  21753",
29394332,US,"  2181",
29394332,US,"  21812",
29394332,US,"  21814",
29394332,US,"  21816",
29394332,US,"  21818",
29394332,US,"  21821",
29394332,US,"  21822",
29394332,US,"  21823",
29394332,US,"  21824",
29394332,US,"  21825",
29394332,US,"  21826",
29394332,US,"  21827",
29394332,US,"  21828",
29394332,US,"  21845",
29394332,US,"  21951",
29394332,US,"  21952",
29394332,US,"  21953",
29394332,US,"  220911",
29394332,US,"  220913",
29420351,US,"D 2896-900",unstructured
29420351,US,"D 2903",
29420351,US,"D 2916-925",unstructured
29420351,US,"D 2943",
29420351,US,"D 2946",
29420351,US,"D 2969",
29420351,US,"D 2971",
29420351,US,"D 2976",
29420351,US," 36  73",
29420351,US," 36  75",
29420351,US," 36 115",
29420351,US," 36 45",
29420351,US," 36  3 A",
29420351,US," 36  3 R",
29420351,US," 36136",
29427581,US,"D 2896",
29427581,US,"D 2916-918",unstructured
29427581,US,"D 2940",
29427581,US,"D 2946",
29427581,US,"D 2969",
29427581,US,"D 2971",
29427581,US," 36 45",
29427581,US," 36 115",
29427581,US," 36 90",
29427581,US," 36101",
29427581,US," 36  3 A",
29427581,US," 36 501",
29427581,US," 36 83",
29427581,US," 36  75",
29427581,US," 36  76",
29427583,US,D02896,
29427583,US,D02916-918,unstructured
29427583,US,D02940,
29427583,US,D02946,
29427583,US,D02969,
29427583,US,D02971,
29427583,US," 36 45",
29427583,US," 36 115",
29427583,US," 36 90",
29427583,US," 36101",
29427583,US," 36  3 A",
29427583,US," 36 501",
29427583,US," 36 83",
29427583,US," 36  75",
29427583,US," 36  76",
29373978,US,"D 2896",
29373978,US,"D 2910",
29373978,US,"D 2911",
29373978,US,"D 2925-942",unstructured
29373978,US,"D 2946",
29373978,US,"D 2969",
29373978,US,"D 2671",
29373978,US," 36  1",
29373978,US," 36 83",
29373978,US," 36  83",
29373978,US," 36 45- 58",unstructured
29373978,US," 36104",
29373978,US," 36108",
29373978,US," 36 76 R",
29429340,US,"D 2946",
29429340,US,"D 2961",
29429340,US," 36 43",
29429340,US," 36 44",
29429340,US," 36 71",
29430961,US,"D 2896",
29430961,US,"D 2902",
29430961,US,"D 2906-908",unstructured
29430961,US,"D 2923",
29430961,US,"D 2943-945",unstructured
29430961,US,"D 2969",
29430961,US,"D 2972-975",unstructured
29430961,US," 36 45- 49",unstructured
29430961,US," 36 501",
29430961,US," 36 54",
29430961,US," 36 77 M",
29430961,US," 36 77 R",
29430961,US," 36 83",
29430961,US," 36 88",
29430961,US," 36113",
29430961,US," 36114",
29430961,US," 36126-131",unstructured
29368398,US,"D 3 10",
29368398,US,D23266,
29368398,US,"135 65",
29368398,US,"135 67",
29368398,US,"135 76",
29368398,US,"135 86",
29368398,US,"135DIG 10",
29368398,US,"135DIG 11",
29421167,US,"D 32031-2038",unstructured
29421167,US,"D 3201",
29421167,US,"D 3205",
29421167,US,"D 9422-423",unstructured
29421167,US,"D 9730-732",unstructured
29421167,US,206528-540,unstructured
29422312,US,"D11  1-  2",unstructured
29422312,US,"D11 14",
29422312,US,"D11 26- 29",unstructured
29422312,US,"D11 89- 92",unstructured
29422312,US,"D11 44",
29422312,US,"D11 48",
29422312,US,"D11 81",
29422312,US,"D11 99",
29422312,US,"D 3207-212",unstructured
29422312,US,"D 8 16",
29422312,US,"D 8 38",
29422312,US,"D 8347",
29422312,US,"D 8348",
29422312,US," 70456 B",
29422312,US," 70457",
29422312,US," 70458",
29422312,US,"206 371",
29422312,US,D21576,
29422312,US,D21593,
29422312,US,D21594,
29422312,US,D21606,
29422312,US,D21609,
29422312,US,D21610,
29422312,US,D21611,
29422312,US,D21659,
29422312,US,D21660,
29371059,US,"D 3214",
29371059,US,"D 3215",
29371059,US,"D 3216",
29371059,US,"D 3217",
29371059,US,"D 3270",
29371059,US,"D 2830",
29371059,US,224153,
29371059,US,224576,
29371059,US,224577,
29371059,US,224578,
29375266,US,"D 3214",
29375266,US,"D 3215",
29375266,US,"D 3216",
29375266,US,"D 3217",
29375266,US,"D 3270",
29375266,US,"D 2830",
29375266,US,224153,
29375266,US,224576,
29375266,US,224577,
29375266,US,224578,
29386965,US,"D 3232-233",unstructured
29386965,US,"D 3240-246",unstructured
29386965,US,"D 3318",
29386965,US,150100,
29386965,US,150103-110,unstructured
29386965,US,150113-114,unstructured
29386965,US,150118-119,unstructured
29390360,US,"D 3247",
29390360,US,"D 3249",
29390360,US,"D 3251",
29390360,US,"D 3253",
29390360,US,"D 3226",
29390360,US,"D 3303",
29390360,US,150147,
29390360,US,150144,
29390360,US,150149,
29390360,US,150131-143,unstructured
29390360,US,150103-104,unstructured
29390360,US,150106-110,unstructured
29390360,US,150113-114,unstructured
29390360,US,150119,
29390360,US,"383  4",
29390360,US,"383 38",
29409660,US,"D 3293-295",unstructured
29409660,US,"D 3273",
29409660,US,"D 3302",
29409660,US,"D 3905",
29409660,US,"D 3276",
29409660,US,"D 3283",
29409660,US,"D 3201",
29409660,US,206349,
29409660,US,206372,
29409660,US,"D 7629",
29409660,US,D30133,
29409660,US,"D 9420",
29409660,US,220523,
29409660,US,"220  421",
29409660,US,"220  422",
29399149,US,"D 3304-315",unstructured
29399149,US,"D 7601-602",unstructured
29399149,US,"D 9424-425",unstructured
29399149,US,"D 9432",
29399149,US,206503-505,unstructured
29399149,US,"220 6211",
29399149,US,220607-608,unstructured
29399149,US,220668,
29399149,US,220676,
29419603,US,"D 3272-273",unstructured
29419603,US,"D 3242",
29419603,US,"D 3276",
29419603,US,"D 3304-305",unstructured
29419603,US,"D 3307-315",unstructured
29419603,US,"D19 75- 76",unstructured
29419603,US,"D19 86",
29419603,US,"D19 90- 91",unstructured
29419603,US,"D19 99-100",unstructured
29419603,US,229100,
29419603,US,22911713,
29419603,US,22911716,
29419603,US,22912002,
29419603,US,22912024,
29419603,US,22912029,
29419603,US,220500,
29419603,US,220528-529,unstructured
29419603,US,"D34  1",
29419603,US,312183-184,unstructured
29419603,US,312107,
29419603,US,"211 45- 46",unstructured
29419603,US,"211 10- 11",unstructured
29419603,US,21112613,
29417074,US,"D 3 20",
29417074,US,"D 3201-202",unstructured
29417074,US,"D 32031",
29417074,US,"D 32033",
29417074,US,"D 3205-206",unstructured
29417074,US,"D 3273",
29417074,US,"D 3276",
29417074,US,"D 3304-315",unstructured
29417074,US,"D 6475-476",unstructured
29417074,US,"D 6525",
29417074,US,"D19 75",
29417074,US,"D19 77",
29417074,US,"D19 86",
29417074,US,"D19 90",
29417074,US,"D19 92",
29417074,US,D19100,
29417074,US,206203,
29417074,US,206214,
29417074,US,206215,
29417074,US,206822,
29417074,US,2063071,
29417074,US,229100,
29417074,US,229915-915,unstructured
29417074,US,229406,
29417074,US,D12425,
29422034,US,"D 3304",
29422034,US,"D 3310",
29422034,US,"D 3315",
29422034,US,"D 6449",
29422034,US,"D 6470-473",unstructured
29422034,US,"D 6509-510",unstructured
29422034,US,"D 7601-602",unstructured
29422034,US,"D 7605",
29422034,US,"D 7612-614",unstructured
29422034,US,"D 7701",
29422034,US,312114-117,unstructured
