patent,"Primary Last Name","Primary First Name","Primary Department","Assistant First Name","Assistant Last Name","Assistant Department"
D0673346,Nelson,"T. Chase",2914,Sims,"Kathleen M",
D0673347,Johnson,Rashida,2916,,,
D0673348,Johnson,Rashida,2916,,,
D0673349,Johnson,Rashida,2916,,,
D0673350,Johnson,Rashida,2916,,,
D0673351,Johnson,Rashida,2916,,,
D0673352,"Eldridge Powers","Karen E",2913,,,
D0673353,Spear,"Robert M",2915,McCoy,"Rashida C",
D0673354,Spear,"Robert M",2915,McCoy,"Rashida C",
D0673355,Spear,"Robert M",2915,McCoy,"Rashida C",
D0673356,Simone,Dominic,2912,,,
D0673357,Simone,Dominic,2912,,,
D0673358,Simone,Dominic,2912,,,
D0673359,Goodman,Eric,2914,,,
D0673360,Oliver-Garcia,Catheri,2914,,,
D0673361,Seifert,Ralf,2914,,,
D0673362,Nelson,"T. Chase",2914,,,
D0673363,Nelson,"T. Chase",2914,,,
D0673364,Baynham,Holly,2915,,,
D0673365,Lane,Sheryl,2915,,,
D0673366,Lane,Sheryl,2915,,,
D0673367,Donnelly,Kelley,2913,,,
D0673368,Donnelly,Kelley,2913,,,
D0673369,Goodman,Eric,2914,,,
D0673370,Donnelly,Kelley,2913,,,
D0673371,Baynham,Holly,2915,,,
D0673372,Tung,"Melanie H",2911,Tabor,"Lavone D",
D0673373,Tung,"Melanie H",2911,Tabor,"Lavone D",
D0673374,Acker,"Karen S",2915,,,
D0673375,Acker,"Karen S",2915,,,
D0673376,Acker,"Karen S",2915,,,
D0673377,Acker,"Karen S",2915,,,
D0673378,Deshmukh,Prabhakar,2912,,,
D0673379,Snapp,Sandra,2915,,,
D0673380,Seeger,Janice,2913,,,
D0673381,De,Mimosa,2913,,,
D0673382,De,Mimosa,2913,,,
D0673383,Pham,Ricky,2913,,,
D0673384,De,Mimosa,2913,,,
D0673385,De,Mimosa,2913,,,
D0673386,Seeger,Janice,2913,,,
D0673387,Seeger,Janice,2913,,,
D0673388,Seeger,Janice,2913,,,
D0673389,Seeger,Janice,2913,,,
D0673390,Calabrese,"Mary Ann",2913,,,
D0673391,Calabrese,"Mary Ann",2913,,,
D0673392,Donnelly,Kelley,2913,,,
D0673393,De,Mimosa,2913,,,
D0673394,De,Mimosa,2913,,,
D0673395,De,Mimosa,2913,,,
D0673396,De,Mimosa,2913,,,
D0673397,De,Mimosa,2913,,,
D0673398,De,Mimosa,2913,,,
D0673399,De,Mimosa,2913,,,
D0673400,De,Mimosa,2913,,,
D0673401,Pham,Ricky,2913,,,
D0673402,Clark,Doris,2914,,,
D0673403,Vinson,"Brian N",2913,,,
D0673404,Vinson,"Brian N",2913,,,
D0673405,Acker,"Karen S",2915,,,
D0673406,Seeger,Janice,2913,,,
D0673407,Seeger,Janice,2913,,,
D0673408,Seeger,Janice,2913,,,
D0673409,Calabrese,"Mary Ann",2913,,,
D0673410,Seeger,Janice,2913,,,
D0673411,Seeger,Janice,2913,,,
D0673412,Seeger,Janice,2913,,,
D0673413,Seeger,Janice,2913,,,
D0673414,Seeger,Janice,2913,,,
D0673415,Pandozzi,Marianne,2915,,,
D0673416,McInroy,Ruth,2917,,,
D0673417,McInroy,Ruth,2917,,,
D0673418,McInroy,Ruth,2917,,,
D0673419,Pham,Ricky,2913,,,
D0673420,Chin,"Cynthia M",2917,,,
D0673421,Spear,"Robert M",2915,Hallmark,Janice,
D0673422,Pandozzi,Marianne,2915,,,
D0673423,Pandozzi,Marianne,2915,,,
D0673424,Pham,Ricky,2913,,,
D0673425,Pham,Ricky,2913,,,
D0673426,Underwood,Cynthia,2915,,,
D0673427,Wallace,Terry,2916,,,
D0673428,Hyder,"Philip S",2917,Applewhite,"John T",
D0673429,Wallace,Terry,2916,,,
D0673430,Wallace,Terry,2916,,,
D0673431,Pham,Ricky,2913,,,
D0673432,Wallace,Terry,2916,,,
D0673433,Hattan,"Susan Bennett",2915,Lohr,"Barbara B",
D0673434,Barkai,Raphael,2915,Gholson,Randall,
D0673435,Barkai,Raphael,2915,Gholson,Randall,
D0673436,Hyder,"Philip S",2917,Applewhite,"John T",
D0673437,Hyder,"Philip S",2917,Applewhite,"John T",
D0673438,Hyder,"Philip S",2917,Cody,Roselynne,
D0673439,Hyder,"Philip S",2917,Applewhite,"John T",
D0673440,Krakower,"Susan E",2917,Cody,Roselynne,
D0673441,Hyder,"Philip S",2917,Cody,Roselynne,
D0673442,Deshmukh,Prabhakar,2912,,,
D0673443,Underwood,Cynthia,2915,,,
