patent,abstract,title
D0673346,,"Belt end strap",
D0673347,,Shorts,
D0673348,,"Bathing suit with rear openings",
D0673349,,Pants,
D0673350,,"Pants with rear openings",
D0673351,,"Absorbent pad for bra",
D0673352,,"Headband with detachable visor and towel",
D0673353,,"Sandal with a charm attachment",
D0673354,,Sandal,
D0673355,,Sandal,
D0673356,,"Footwear (ultima)",
D0673357,,"Shoe insert with ornamentation",
D0673358,,"Shoe upper",
D0673359,,"Decorative cane cover",
D0673360,,"Interactive pill case",
D0673361,,"Flexible storage sleeve for holding USB storage devices",
D0673362,,"Child'S backpack",
D0673363,,Backpack,
D0673364,,Bag,
D0673365,,Wallet,
D0673366,,"Travel drying container",
D0673367,,Basket,
D0673368,,Box,
D0673369,,"Handle for mesh basket",
D0673370,,"Open-ended container system",
D0673371,,"Telescopic handle for luggage",
D0673372,,"Grill brush",
D0673373,,Brush,
D0673374,,"Substrate with a predator skull camouflage pattern",
D0673375,,"Cloth with pattern",
D0673376,,"Synthetic resin paper",
D0673377,,"Web material sheet",
D0673378,,"Scarf hanger",
D0673379,,Lounge,
D0673380,,"Table combined with four footstools",
D0673381,,"Puzzle chair",
D0673382,,"Puzzle chair",
D0673383,,Chair,
D0673384,,"Office chair",
D0673385,,Chair,
D0673386,,Bed,
D0673387,,"Portable multi-station voting booth cart",
D0673388,,"Portable multi-station voting booth cart",
D0673389,,"Portable multi-station voting booth cart",
D0673390,,"Display unit",
D0673391,,"Pliers rack",
D0673392,,"Display rack for multiple items",
D0673393,,"Vehicle seat mount",
D0673394,,Chair,
D0673395,,Chair,
D0673396,,Chair,
D0673397,,"Seat for swivel chair",
D0673398,,"Back for swivel chair",
D0673399,,"Seatback frame",
D0673400,,"Chair back",
D0673401,,"Chair support structure",
D0673402,,Panel,
D0673403,,"Countertop dispenser tray",
D0673404,,"Shelf and peg unit",
D0673405,,"Kneeling and rollable mat",
D0673406,,"Pillow with animal likeness",
D0673407,,"Pillow with animal likeness",
D0673408,,"Pillow with animal likeness",
D0673409,,"Pillow cover",
D0673410,,"Therapeutic pillow",
D0673411,,Mattress,
D0673412,,Mattress,
D0673413,,"Border for mattresses",
D0673414,,"Zipper cover for a mattress enclosure",
D0673415,,Decanter,
D0673416,,"Microwave oven",
D0673417,,"Microwave oven",
D0673418,,"Microwave oven",
D0673419,,"Coffee grinder",
D0673420,,"Drink cover",
D0673421,,"Beverage container",
D0673422,,"Handheld carbonation device",
D0673423,,"Bottle insert for a handheld carbonation device",
D0673424,,"Utensil handle",
D0673425,,"Motor head for a chopper jar",
D0673426,,"Mixing bowl with handle",
D0673427,,"Portable caddy",
D0673428,,"Combined beverage mug and can holder",
D0673429,,"Food container",
D0673430,,Container,
D0673431,,"Eating utensil",
D0673432,,"Mold for pastries",
D0673433,,"Wheel weight removal hook",
D0673434,,Wrench,
D0673435,,"Open end ratchet wrench",
D0673436,,Drill,
D0673437,,"Drill driver",
D0673438,,"Triple claw corner hammer",
D0673439,,"Knife sharpener",
D0673440,,Cutter,
D0673441,,"Revolver knife",
D0673442,,"Breakable seal for use on combination controlled locks",
D0673443,,"Abrasion resistant limit strap mount",
D0673444,,"Press nut",
D0673445,,"Press nut",
D0673446,,Crib,
D0673447,,Container,
D0673448,,"Container shroud",
D0673449,,"Bottle cap",
D0673450,,Container,
D0673451,,"Food container lid",
D0673452,,Bottle,
D0673453,,"Container with lid",
D0673454,,Container,
D0673455,,"Cosmetic bottle",
D0673456,,Bottle,
D0673457,,"Beverage container",
D0673458,,"Package face",
D0673459,,"Liquid flask",
D0673460,,"Packing for confectionery",
D0673461,,"Packaging box for confectionery",
D0673462,,"Trash can liner",
D0673463,,Wristwatch,
D0673464,,Wristwatch,
D0673465,,"Measuring spoon",
D0673466,,"Temperature controller",
D0673467,,"Controller for air conditioner",
