patent,kind,claims,apptype,appnum,gdate,appdate
patent,prim,class,subclass
D0673346,S1,1,,29408358,20130101,20111212
D0673347,S1,1,,29414348,20130101,20120228
D0673348,S1,1,,29425602,20130101,20120625
D0673349,S1,1,,29413417,20130101,20120215
D0673350,S1,1,,29425600,20130101,20120625
D0673351,S1,1,,29379798,20130101,20101124
D0673352,S1,1,,29394332,20130101,20110615
D0673353,S1,1,,29420351,20130101,20120508
D0673354,S1,1,,29427581,20130101,20120719
D0673355,S1,1,,29427583,20130101,20120719
D0673356,S1,1,,29373978,20130101,20110615
D0673357,S1,1,,29429340,20130101,20120809
D0673358,S1,1,,29430961,20130101,20120831
D0673359,S1,1,,29368398,20130101,20100823
D0673360,S1,1,,29421167,20130101,20120605
D0673361,S1,1,,29422312,20130101,20120518
D0673362,S1,1,,29371059,20130101,20101005
D0673363,S1,1,,29375266,20130101,20100920
D0673364,S1,1,,29386965,20130101,20110307
D0673365,S1,1,,29390360,20130101,20110423
D0673366,S1,1,,29409660,20130101,20111227
D0673367,S1,1,,29399149,20130101,20110810
D0673368,S1,1,,29419603,20130101,20120430
D0673369,S1,1,,29417074,20130101,20120329
D0673370,S1,1,,29422034,20130101,20120515
D0673371,S1,1,,29418133,20130101,20120412
D0673372,S1,1,,29346943,20130101,20091109
D0673373,S1,1,,29422895,20130101,20120524
D0673374,S1,1,,29410905,20130101,20120113
D0673375,S1,1,,29415488,20130101,20120312
D0673376,S1,1,,29372946,20130101,20110208
D0673377,S1,1,,29404827,20130101,20111026
D0673378,S1,1,,29387415,20130101,20110313
D0673379,S1,1,,29393892,20130101,20110610
D0673380,S1,1,,29411756,20130101,20120125
D0673381,S1,1,,29403635,20130101,20111007
D0673382,S1,1,,29403636,20130101,20111007
D0673383,S1,1,,29418890,20130101,20120423
D0673384,S1,1,,29401115,20130101,20110907
D0673385,S1,1,,29402106,20130101,20110921
D0673386,S1,1,,29399187,20130101,20110810
D0673387,S1,1,,29411130,20130101,20120117
D0673388,S1,1,,29411716,20130101,20120125
D0673389,S1,1,,29411754,20130101,20120125
D0673390,S1,1,,29398121,20130101,20110726
D0673391,S1,1,,29412851,20130101,20120208
D0673392,S1,1,,29390041,20130101,20110419
D0673393,S1,1,,29412765,20130101,20120207
D0673394,S1,1,,29419143,20130101,20120425
D0673395,S1,1,,29419250,20130101,20120426
D0673396,S1,1,,29423283,20130101,20120530
D0673397,S1,1,,29399616,20130101,20110816
D0673398,S1,1,,29399622,20130101,20110816
D0673399,S1,1,,29404115,20130101,20111017
D0673400,S1,1,,29404716,20130101,20111025
D0673401,S1,1,,29424432,20130101,20120612
D0673402,S1,1,,29388327,20130101,20110328
D0673403,S1,1,,29392526,20130101,20110523
D0673404,S1,1,,29427797,20130101,20120723
D0673405,S1,1,,29412931,20130101,20120209
D0673406,S1,1,,29395236,20130101,20111222
D0673407,S1,1,,29395238,20130101,20111222
D0673408,S1,1,,29395240,20130101,20111222
D0673409,S1,1,,29397368,20130101,20110714
D0673410,S1,1,,29409990,20130101,20111231
D0673411,S1,1,,29408320,20130101,20111209
D0673412,S1,1,,29411402,20130101,20120120
D0673413,S1,1,,29419281,20130101,20120426
D0673414,S1,1,,29409566,20130101,20111224
D0673415,S1,1,,29391238,20130101,20110505
D0673416,S1,1,,29415157,20130101,20120308
D0673417,S1,1,,29415160,20130101,20120308
D0673418,S1,1,,29422136,20130101,20120517
D0673419,S1,1,,29409323,20130101,20111222
D0673420,S1,1,,29367068,20130101,20100803
D0673421,S1,1,,29399208,20130101,20110810
D0673422,S1,1,,29377639,20130101,20101024
D0673423,S1,1,,29377641,20130101,20101024
D0673424,S1,1,,29412001,20130101,20120127
D0673425,S1,1,,29399970,20130101,20110822
D0673426,S1,1,,29370669,20130101,20100819
D0673427,S1,1,,29408497,20130101,20111213
D0673428,S1,1,,29397809,20130101,20110721
D0673429,S1,1,,29392982,20130101,20110527
D0673430,S1,1,,29394379,20130101,20110616
D0673431,S1,1,,29427472,20130101,20120718
D0673432,S1,1,,29404207,20130101,20111017
D0673433,S1,1,,29403193,20130101,20111003
D0673434,S1,1,,29406319,20130101,20111111
D0673435,S1,1,,29426708,20130101,20120710
D0673436,S1,1,,29392061,20130101,20110517
D0673437,S1,1,,29392215,20130101,20110518
D0673438,S1,1,,29358956,20130101,20100402
D0673439,S1,1,,29389898,20130101,20110418
D0673440,S1,1,,29390694,20130101,20110428
D0673441,S1,1,,29409199,20130101,20111221
D0673442,S1,1,,29395089,20130101,20111121
D0673443,S1,1,,29395831,20130101,20120406
D0673444,S1,1,,29409093,20130101,20111220
D0673445,S1,1,,29409094,20130101,20111220
D0673446,S1,1,,29391520,20130101,20110510
D0673447,S1,1,,29417864,20130101,20120410
D0673448,S1,1,,29386808,20130101,20110304
D0673449,S1,1,,29396906,20130101,20110708
D0673450,S1,1,,29387060,20130101,20110308
D0673451,S1,1,,29412700,20130101,20120207
D0673452,S1,1,,29361769,20130101,20100514
D0673453,S1,1,,29377146,20130101,20101018
D0673454,S1,1,,29394199,20130101,20110614
D0673455,S1,1,,29386058,20130101,20110224
D0673456,S1,1,,29338338,20130101,20090609
D0673457,S1,1,,29401987,20130101,20110919
D0673458,S1,1,,29398347,20130101,20110729
D0673459,S1,1,,29382227,20130101,20101230
D0673460,S1,1,,29400619,20130101,20110831
D0673461,S1,1,,29400630,20130101,20110831
D0673462,S1,1,,29374288,20130101,20110725
D0673463,S1,1,,29424413,20130101,20120612
D0673464,S1,1,,29416226,20130101,20120320
D0673465,S1,1,,29413284,20130101,20120214
D0673466,S1,1,,29390636,20130101,20110427
D0673467,S1,1,,29409712,20130101,20111228
D0673468,S1,1,,29393750,20130101,20110608
D0673469,S1,1,,29396875,20130101,20110708
D0673470,S1,1,,29396878,20130101,20110708
D0673471,S1,1,,29402516,20130101,20110923
D0673472,S1,1,,29403285,20130101,20111004
D0673473,S1,1,,29377029,20130101,20101015
D0673474,S1,1,,29417992,20130101,20120411
D0673475,S1,1,,29418012,20130101,20120411
D0673476,S1,1,,29412134,20130101,20120131
D0673477,S1,1,,29375943,20130101,20100930
D0673478,S1,1,,29419376,20130101,20120427
D0673479,S1,1,,29426092,20130101,20120910
D0673480,S1,1,,29416760,20130101,20120327
D0673481,S1,1,,29339364,20130101,20090629
D0673482,S1,1,,29342596,20130101,20090827
D0673483,S1,1,,29405120,20130101,20111028
D0673484,S1,1,,29403450,20130101,20111006
D0673485,S1,1,,29405075,20130101,20111028
D0673486,S1,1,,29397694,20130101,20110720
D0673487,S1,1,,29381463,20130101,20101220
D0673488,S1,1,,29413268,20130101,20120214
D0673489,S1,1,,29411241,20130101,20120118
D0673490,S1,1,,29384150,20130101,20110127
D0673491,S1,1,,29428350,20130101,20120730
D0673492,S1,1,,29412248,20130101,20120201
D0673493,S1,1,,29427845,20130101,20120723
D0673494,S1,1,,29427852,20130101,20120723
D0673495,S1,1,,29422571,20130101,20120522
D0673496,S1,1,,29407538,20130101,20111130
D0673497,S1,1,,29359037,20130101,20100405
D0673498,S1,1,,29418979,20130101,20120424
D0673499,S1,1,,29383724,20130101,20110121
D0673500,S1,1,,29407922,20130101,20111205
D0673501,S1,1,,29413593,20130101,20120217
D0673502,S1,1,,29415573,20130101,20120312
D0673503,S1,1,,29403123,20130101,20110930
D0673504,S1,1,,29423097,20130101,20120529
D0673505,S1,1,,29382449,20130101,20110104
D0673506,S1,1,,29374619,20130101,20110912
D0673507,S1,1,,29397316,20130101,20110714
